강좌명,차시명,링크,
지혜큐브를 찾아라,1차시 ,1차시. 지혜큐브를 찾아서 ep.1 – 크레용스쿨,https://crayonschool.co.kr/lessons/1%ec%b0%a8%ec%8b%9c-%ec%a7%80%ed%98%9c%ed%81%90%eb%b8%8c%eb%a5%bc-%ec%b0%be%ec%95%84%ec%84%9c-ep-1/
지혜큐브를 찾아라,3차시 ,3차시. 지혜큐브를 찾아서 ep.3 – 크레용스쿨,https://crayonschool.co.kr/lessons/3%ec%b0%a8%ec%8b%9c-%ec%a7%80%ed%98%9c%ed%81%90%eb%b8%8c%eb%a5%bc-%ec%b0%be%ec%95%84%ec%84%9c-ep-3/
지혜큐브를 찾아라,4차시 ,4차시. 지혜큐브를 찾아서 ep.4 – 크레용스쿨,https://crayonschool.co.kr/lessons/4%ec%b0%a8%ec%8b%9c-%ec%a7%80%ed%98%9c%ed%81%90%eb%b8%8c%eb%a5%bc-%ec%b0%be%ec%95%84%ec%84%9c-ep-4/
용기큐브를 찾아라,1차시 ,1차시. 용기큐브를 찾아서 ep.1 – 크레용스쿨,https://crayonschool.co.kr/lessons/1%ec%b0%a8%ec%8b%9c-%ec%9a%a9%ea%b8%b0%ed%81%90%eb%b8%8c%eb%a5%bc-%ec%b0%be%ec%95%84%ec%84%9c-ep-1/
용기큐브를 찾아라,2차시,2차시. 용기큐브를 찾아서 ep.2 – 크레용스쿨,https://crayonschool.co.kr/lessons/2%ec%b0%a8%ec%8b%9c-%ec%9a%a9%ea%b8%b0%ed%81%90%eb%b8%8c%eb%a5%bc-%ec%b0%be%ec%95%84%ec%84%9c-ep-2/
플라팜,가거기,"2차시. 가, 거, 기를 배워요 – 크레용스쿨",https://crayonschool.co.kr/lessons/2%ec%b0%a8%ec%8b%9c-%ea%b0%80-%ea%b1%b0-%ea%b8%b0%eb%a5%bc-%eb%b0%b0%ec%9b%8c%ec%9a%94/
플라팜,고구그,"3차시. 고, 구, 그를 배워요 – 크레용스쿨",https://crayonschool.co.kr/lessons/3%ec%b0%a8%ec%8b%9c-%ea%b3%a0-%ea%b5%ac-%ea%b7%b8%eb%a5%bc-%eb%b0%b0%ec%9b%8c%ec%9a%94/
플라팜,라러리,"14차시. 라, 러, 리를 배워요 – 크레용스쿨",https://crayonschool.co.kr/lessons/14%ec%b0%a8%ec%8b%9c-%eb%9d%bc-%eb%9f%ac-%eb%a6%ac%eb%a5%bc-%eb%b0%b0%ec%9b%8c%ec%9a%94/
플라팜,로루르,"15차시. 로, 루, 르를 배워요 – 크레용스쿨",https://crayonschool.co.kr/lessons/15%ec%b0%a8%ec%8b%9c-%eb%a1%9c-%eb%a3%a8-%eb%a5%b4%eb%a5%bc-%eb%b0%b0%ec%9b%8c%ec%9a%94/
플라팜,미니사자,16차시. 미니 사자를 만들어요 – 크레용스쿨,https://crayonschool.co.kr/lessons/16%ec%b0%a8%ec%8b%9c-%eb%af%b8%eb%8b%88-%ec%82%ac%ec%9e%90%eb%a5%bc-%eb%a7%8c%eb%93%a4%ec%96%b4%ec%9a%94/
플라팜,마머미,"18차시. 마, 머, 미를 배워요 – 크레용스쿨",https://crayonschool.co.kr/lessons/18%ec%b0%a8%ec%8b%9c-%eb%a7%88-%eb%a8%b8-%eb%af%b8%eb%a5%bc-%eb%b0%b0%ec%9b%8c%ec%9a%94/
플라팜,모무므,"19차시. 모, 무, 므를 배워요 – 크레용스쿨",https://crayonschool.co.kr/lessons/19%ec%b0%a8%ec%8b%9c-%eb%aa%a8-%eb%ac%b4-%eb%af%80%eb%a5%bc-%eb%b0%b0%ec%9b%8c%ec%9a%94/
팀보로봇,블록과 친해져요,1차시. 블록과 친해져요! – 크레용스쿨,https://crayonschool.co.kr/lessons/1%ec%b0%a8%ec%8b%9c-%eb%b8%94%eb%a1%9d%ea%b3%bc-%ec%b9%9c%ed%95%b4%ec%a0%b8%ec%9a%94/
팀보로봇,팽이,2차시. 팽이 – 크레용스쿨,https://crayonschool.co.kr/lessons/2%ec%b0%a8%ec%8b%9c-%ed%8c%bd%ec%9d%b4/
팀보로봇,강아지,3차시. 모션블록과 강아지 – 크레용스쿨,https://crayonschool.co.kr/lessons/3%ec%b0%a8%ec%8b%9c-%eb%aa%a8%ec%85%98%eb%b8%94%eb%a1%9d%ea%b3%bc-%ea%b0%95%ec%95%84%ec%a7%80/
팀보로봇,문어,6차시. 문어 – 크레용스쿨,https://crayonschool.co.kr/lessons/6%ec%b0%a8%ec%8b%9c-%eb%ac%b8%ec%96%b4/
팀보로봇,컬링,7차시. 컬링 – 크레용스쿨,https://crayonschool.co.kr/lessons/7%ec%b0%a8%ec%8b%9c-%ec%bb%ac%eb%a7%81/
